AYTG	Tagula Airport	-11.33111	153.20292
AYTH	Tifalmin Airport	-5.11725	141.41808
AYTI	Tapini Airport	-8.35667	146.98917
AYTJ	Tadji Airport	-3.19819	142.43096
AYTK	Tokua Airport	-4.34046	152.38001
AYTL	Talbakul Airstrip	-6.37080	144.71670
AYTM	Tamo Airstrip	-4.72460	144.15290
AYTN	Tekin Airport	-5.24367	142.16519
AYTO	Kamberatoro Airport	-3.60056	141.05167
AYTP	Tep Tep Airport	-5.95530	146.55950
AYTQ	Tapen Airstrip	-5.85591	146.63841
AYTR	Tarabo Airport	-6.46667	145.53222
AYTS	Tsewi Airport	-7.06950	146.12720
AYTT	Tarakbits Airport	-5.61400	141.04210
AYTU	Tufi Airport	-9.07595	149.31984
AYTV	Timbunke Airport	-4.19663	143.51922
AYTW	Tawa Airport	-7.44630	146.10670
AYTX	Matak Airstrip	-6.17454	146.39234
AYTY	Terapo Airport	-8.16972	146.19444
AYTZ	Tekadu Airport	-7.68080	146.55030
AYUA	Utai Airstrip	-3.38600	141.58680
AYUB	Gubil Airstrip	-4.88331	141.52538
AYUC	Umba Airport	-7.02140	145.96600
AYUD	Kais-Udave Helicopter landing site	-8.78190	147.27850
AYUE	Uroubi Airport	-9.51620	148.55910
AYUG	Brugam Airstrip	-3.63810	142.83790
AYUI	Buin Airport	-6.72917	155.68333
AYUJ	Mukvi Airstrip	-8.25664	141.76513
AYUK	Mukili Airstrip	-3.68560	142.36453
AYUL	Musula Airstrip	-6.83850	142.89830
AYUM	Aumo Airport	-5.73111	148.44528
AYUN	Bunam Airstrip	-4.65640	144.25170
AYUO	Omaura Airstrip	-6.36790	145.99020
AYUP	Gulgubip Airport	-5.28080	141.54110
AYUQ	Kumbwareta Airstrip	-5.50780	144.11710
AYUR	Upiara Airport	-8.54110	142.65030
AYUS	Suame Airstrip	-8.36840	142.58620
AYUT	Bunguwat Airstrip	-6.00500	146.72050
AYUU	Bu'u Airstrip	-7.40110	145.81490
AYUV	Tuvau Airstrip	-6.60250	145.83720
AYUW	Auwi Airstrip	-5.51000	142.63920
AYUX	Usarumpia Airstrip	-6.98580	145.81020
AYUY	Kuyol Airport	-5.37236	141.62389
AYUZ	Uvol Airport	-6.01780	150.95570
AYVA	Vailala Airstrip	-7.76770	145.48570
AYVB	Tobou Airstrip	-6.40260	147.42230
AYVK	Wokien Airstrip	-3.77296	141.97906
AYVL	Talasea Airport	-5.27260	150.00890
AYVM	Torembi Airport	-4.01650	143.13290
AYVN	Vanimo Airport	-2.69260	141.30280
AYVO	Tonu Airport	-6.65520	155.43260
AYVP	Woposali Airstrip	-6.65770	144.29740
AYVW	Wuvulu Island Airport	-1.73611	142.83667
AYVY	Yembi Yembi Airstrip	-4.46982	143.14852
AYWA	Asinuwa Airstrip	-7.02870	145.76780
AYWB	Wabo Airport	-6.98944	145.07511
AYWC	Wantoat Airport	-6.13250	146.46778
AYWD	Wapenamanda Airport	-5.63529	143.89223
AYWE	Wangeto Airstrip	-5.74322	146.14841
AYWF	Wawoi Falls Airport	-6.95230	142.65570
AYWG	Wanigela Airport	-9.33750	149.15556
AYWH	Wanuma Airport	-4.89610	145.32130
AYWJ	Wapolu Airport	-9.33760	150.50930
AYWK	Wewak International Airport	-3.58383	143.66901
AYWL	Walagu Airstrip	-6.34325	142.82540
AYWM	Wasengla Airstrip	-3.29551	141.07267
AYWN	Nugwaia Airstrip	-3.81830	142.83500
AYWO	Wonenara Airport	-6.79686	145.89194
AYWP	Wanikipa Airstrip	-5.25480	142.52190
AYWQ	Wakunai Airport	-5.86030	155.22230
AYWS	Wasu Airport	-5.96171	147.19823
AYWT	Woitape Airport	-8.54583	147.25250
AYWU	Wau Airport	-7.34556	146.71861
AYWV	Warasai Airstrip	-4.01200	142.51000
AYWW	Owena Airstrip	-6.69620	145.80940
AYWX	Wario Airstrip	-4.40871	142.22699
AYWY	Waro Airstrip	-6.53685	143.19787
AYXA	Wiawia Airstrip	-7.16375	145.63369
AYXB	Buluwo Airstrip	-3.67530	142.01510
AYXE	Yeva Airport	-7.54800	146.18800
AYXG	Sugu Airstrip	-6.39070	143.55650
AYXH	Yehebi Airstrip	-6.39280	142.26610
AYXI	Sim Airport	-7.75000	146.92730
AYXM	Komo Airport	-6.06251	142.87658
AYXO	Tol Airport	-4.98083	152.00999
AYXP	Wipim Airport	-8.78822	142.88200
AYXS	Sisamin Airstrip	-5.13630	142.28400
AYXW	Weam Airport	-8.61840	141.13810
AYXY	Yebil Airstrip	-3.46250	141.95590
AYYA	Yabru Airstrip	-3.96734	141.19173
AYYB	Wobagen Airstrip	-5.27472	142.03417
AYYC	Yagiap Airstrip	-4.01767	143.21740
AYYD	Yatoam Airstrip	-5.09490	142.38460
AYYE	Yalumet Airport	-6.09000	147.01170
AYYG	Yemin Airstrip	-3.96700	142.29120
AYYI	Yili Airstrip	-3.53220	142.16450
AYYJ	Yanungen Airstrip	-3.45740	142.54000
AYYK	Yenkis(Yankisa) Airport	-5.10972	143.91767
AYYL	Tinboli Airport	-4.09490	143.38380
AYYM	Munbil Airport	-4.85594	141.22017
AYYN	Yimnalem Airstrip	-5.14410	144.59560
AYYO	Oram Airport	-9.63292	148.04806
AYYP	Yapsiei Airport	-4.62806	141.09417
AYYQ	Yagrombok Airstrip	-3.58500	142.62850
AYYR	Yasuru Airport	-6.60150	146.18130
AYYT	Mount Tauwa Airstrip	-6.72930	144.30300
AYYU	Mui Airstrip	-4.79120	144.31130
AYYV	Yawa Airstrip	-4.10030	142.13510
AYYW	Yawan Airstrip	-6.13390	146.84380
AYYZ	Yambaitok	-4.99535	143.96143
AYZA	Zenag Airport	-6.95222	146.61625
AYZB	Sibilanga Airstrip	-3.44580	142.50100
AYZI	Silur Airport	-4.52989	153.05444
AYZM	Wasum Airport	-6.04910	149.33700
AYZN	Sissano Airport	-2.99944	142.04450
AYZQ	Sopise Airstrip	-6.78870	144.15930
AYZS	Ossima Airport	-2.91556	141.29731
AYZU	Oum Airstrip	-4.26840	142.12730
AYZW	Siawi Airstrip	-4.06100	141.41970
AYZY	Yilui Airstrip	-3.92920	142.20450
AYZZ	Zuebak Airstrip	-6.30880	146.55680
BGAA	Aasiaat Airport	68.72180	-52.78470
BGAG	Aappilattoq Heliport	72.88703	-55.59629
BGAK	Akunnaaq Heliport	68.74427	-52.34037
BGAM	Tasiilaq Heliport	65.61230	-37.61834
BGAP	Alluitsup Paa Heliport	60.46445	-45.56917
BGAQ	Aappilattoq Heliport	60.14836	-44.28692
BGAR	Arsuk Heliport	61.17683	-48.41970
BGAS	Ammassivik Heliport	60.59738	-45.38244
BGAT	Attu Heliport	67.94066	-53.62187
BGBW	Narsarsuaq Airport	61.15958	-45.42469
BGCH	Qasigiannguit Heliport	68.82282	-51.17345
BGCO	Neerlerit Inaat Airport	70.74310	-22.65050
BGDB	Daneborg Heliport	74.29788	-20.22995
BGDH	Danmarkshavn Landing Strip	76.76667	-18.66667
BGET	Eqalugaarsuit Heliport	60.61972	-45.91406
BGFD	Narsarmijit Heliport	60.00469	-44.65693
BGGD	Kangilinnguit Heliport	61.22896	-48.09698
BGGH	Nuuk International Airport	64.19107	-51.67914
